PLOT_ID,EMBHOR,EMBCIT,ANTTRI,ANTSPI,TMIT1,TMIT2,Pluviorange,grass,HIGHSHURB1,HIGHSHURB2,lowshurb,tree,ROCK1,ROCK2,ASPECT1,ASPECT2,rough,ELEV1,ELEV2,latitude,elevation,longitude,Tmit,aspect,highshurb,rocks,Trange,Annrainf,radiation,RAINGFALL1,RAINGFALL2,LOWSHURB1,LOWSHURB2,TREE1,TREE2
1,0,0,0,0,0.027464242,-0.00263933,-1.13183062,-0.355953121,-0.007942007,0.004733897,0.811883841,0.699075012,-0.017376738,0.013774117,0.031475226,0.015528337,-0.792674956,-0.023901554,-0.006391794,2.094008784,-1.034415534,1.496670935,1.188602133,1.362190171,-0.343715511,-0.752033436,-1.854622662,-0.70423979,-0.22434829,-0.02615246,0.003260374,0.018759662,-0.025432049,0.016153063,-0.045500932
2,0,0,0,0,0.026342617,-0.004281639,-1.097298687,-1.25515422,-0.007942007,0.004733897,2.212152746,-0.362725017,-0.017376738,0.013774117,0.0357289,0.028799084,-0.975682578,-0.025101133,-0.004764364,2.072856375,-1.086331106,1.495335016,1.140060272,1.546281395,-0.343715511,-0.752033436,-2.136668988,-1.219535258,0.609380683,-0.025354554,0.002076551,0.051114748,0.057703385,-0.008381247,-0.000445045
3,0,0,0,0,0.027464242,-0.00263933,-1.157729569,-1.25515422,-0.007942007,0.004733897,1.951637601,0.109186107,-0.017376738,0.013774117,0.034556139,0.024960133,-0.165220252,-0.025153289,-0.004691371,2.060730791,-1.088588305,1.493379618,1.188602133,1.495526441,-0.343715511,-0.752033436,-1.854622662,-0.724401487,-0.399081907,-0.02675089,0.004173057,0.045095197,0.034415206,0.002522891,-0.026380309
4,0,0,1,0,0.027464242,-0.00263933,-1.015285347,-1.25515422,-0.007942007,0.004733897,2.277281532,-0.480702798,-0.017376738,0.013774117,0.033956144,0.023049119,-1.001826524,-0.027604602,-0.00105053,2.049413579,-1.194676646,1.491429607,1.188602133,1.469559759,-0.343715511,-0.752033436,-1.854622662,-0.587020621,-0.234333068,-0.023459526,-0.000583466,0.052619636,0.064084081,-0.011107281,0.007516378
5,0,0,0,0,0.029707491,0.000902598,-0.907373058,-1.25515422,-0.007942007,0.004733897,2.212152746,-0.362725017,-0.017376738,0.013774117,0.029173311,0.009099082,0.27922683,-0.027761069,-0.000804163,2.030012644,-1.201448243,1.489845896,1.285685856,1.262567519,-0.343715511,-0.752033436,-1.854622662,-0.036559402,-0.70361764,-0.020966068,-0.003758507,0.051114748,0.057703385,-0.008381247,-0.000445045
6,0,0,0,0,0.000545251,-0.01838206,-0.074290183,2.269714086,-0.007942007,0.004733897,-0.914028994,-0.480702798,-0.017376738,0.013774117,0.010815363,-0.023266124,-1.1586902,-0.000483692,-0.018420725,-0.398876616,-0.02093329,1.577499428,0.023597458,0.468069139,-0.343715511,-0.752033436,-0.726437355,-0.06516088,0.374738398,-0.001716574,-0.015839525,-0.021119862,0.014219645,-0.011107281,0.007516378
7,0,1,0,0,-0.000576374,-0.017965875,-0.03975825,-0.176112902,-0.007942007,0.004733897,1.235220952,-0.480702798,-0.015647269,0.00895638,0.005577097,-0.026339,-1.603137282,-0.001057403,-0.018574832,-0.40372685,-0.045762477,1.575371654,-0.024944404,0.241366553,-0.343715511,-0.677185162,-0.632421913,0.001888485,0.299852562,-0.000918668,-0.015865226,0.028541432,-0.011191786,-0.011107281,0.007516378
8,0,0,0,0,-0.000576374,-0.017965875,-0.000909826,0.902928416,-0.007942007,0.004733897,0.323417945,-0.480702798,-0.017376738,0.013774117,0.005801261,-0.026263536,-1.080258362,0.000142175,-0.018226899,-0.399617624,0.006153095,1.573249266,-0.024944404,0.25106797,-0.343715511,-0.752033436,-0.632421913,0.197878936,0.135103723,-2.10E-05,-0.015848939,0.007473004,-0.03013144,-0.011107281,0.007516378
9,0,0,0,0,-0.001697998,-0.01746392,0.033622106,-0.89547378,-0.007942007,0.004733897,1.788815635,-0.185758346,-0.017376738,0.013774117,-0.003721667,-0.025054638,-0.50509155,0.001133132,-0.017865142,-0.399684989,0.049039871,1.571089171,-0.073486265,-0.161066949,-0.343715511,-0.752033436,-0.444391028,0.484362585,-0.219355901,0.000776884,-0.015794281,0.041332978,0.021675711,-0.004292195,-0.011278973
10,0,1,1,0,-0.005062872,-0.01544343,-0.074290183,-0.535793341,-0.007942007,0.004733897,1.300349738,-0.185758346,-0.013053065,0.002212009,-0.021021372,0.000275348,-0.844962848,0.002749955,-0.017130522,-0.409048634,0.119013033,1.569036811,-0.21911185,-0.909766507,-0.343715511,-0.564912752,-0.538406471,0.019705799,0.085179832,-0.001716574,-0.015839525,0.03004632,-0.008162999,-0.004292195,-0.011278973
